ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days Subscribed,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count
496,ALL,Lifetime,INITIAL_PURCHASE,Web,189.84,USD,3/8/20,1/1/99,28788,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,8,3,0,1,0
511,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/18/20,1/1/99,28778,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,144,19,6,11,3
516,ALL,Lifetime,INITIAL_PURCHASE,Web,205.3,USD,1/7/20,1/1/99,28849,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,28,17,1,8,1
520,ENG,Limited,INITIAL_PURCHASE,Web,52.55,USD,9/28/19,3/28/20,182,No,No,NULL,NULL,Off,Other,Consumer,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL
531,DEU,Limited,INITIAL_PURCHASE,Web,99,USD,7/20/19,7/20/21,731,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,14,14,0,1,0
534,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/5/20,4/5/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,86,82,44,13,2
539,RUS,Limited,RENEWAL,Web,79,USD,4/18/19,10/18/19,183,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,121,0,0,0,0
542,FRA,Limited,RENEWAL,Web,79,USD,3/2/19,12/2/19,275,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0
544,HIN,Limited,INITIAL_PURCHASE,Web,35.97,USD,11/25/19,6/26/20,214,No,Yes,1/1/20,1/4/20,On,US/Canada,Consumer,Web,Yes,Yes,15,0,0,0,0
546,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/9/20,1/1/99,28787,No,Yes,3/5/20,3/8/20,Off,US/Canada,Consumer,Web,Yes,Yes,12,9,6,3,2
549,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/23/20,4/23/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,1,1,0,1,0
551,HIN,Limited,INITIAL_PURCHASE,Web,39,USD,7/5/19,10/8/19,95,No,Yes,7/5/19,7/8/19,Off,US/Canada,Consumer,Web,Yes,Yes,176,30,0,26,0
553,ESC,Limited,INITIAL_PURCHASE,Web,65.94,USD,2/13/20,2/13/21,366,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,77,25,1,23,1
554,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/24/20,1/1/99,28801,No,No,NULL,NULL,Off,Other,Consumer,Web,No,Yes,127,36,16,14,2
555,FRA,Limited,INITIAL_PURCHASE,Web,39,USD,8/17/19,11/20/19,95,No,Yes,8/17/19,8/20/19,Off,US/Canada,Consumer,Web,Yes,Yes,55,0,0,0,0
558,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/27/20,1/1/99,28798,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0
